phrase,translation,comment,source,idiom
with mathematical precision,მათემატიკური სიზუსტით,,1200,
"omit, v. (tt) (sb/sth from sth)",გამოტოვო ვინმე/რამე (საიდანღაც),,1200,
"leave sb/sth out (of sth), phr. v.",გამოტოვო ვინმე/რამე (საიდანღაც),,1200,
"If you are a student, you can omit/leave out questions from 16 to 18.","თუ თქვენ ხართ სტუდენტი, შეგიძლიათ გამოტოვოთ კითხვები 16, 17 და 18.",,1200,
"loving, adj.",მოსიყვარულე (ადამიანზე),,1200,
"caring, adj.",მზრუნველი (ადამიანზე),,1200,
"understanding, adj.","გამგები, თანამგრძნობი (ადამიანზე)",,1200,
"sympathetic, adj.","გამგები, თანამგრძნობი (ადამიანზე)",,1200,
"sympathy, n.","თანაგრძნობა, სიმპათია",,1200,
sympathise with sb,უთანაგრძნო ვინმეს,,1200,
supportive adj.,მხარდამჭერი (ადამიანზე),,1200,
Julia wishes John were more loving and caring.,"ჯულია ნატრობს იმაზე, რომ ჯონი იყოს უფრო მოსიყვარულე და მზრუნველი.",,1200,
Thank you so much for being so understanding/sympathetic and supportive!,"დიდი მადლობა, რომ ასეთი გამგები და მხარდამჭერი ხარ!",,1200,
law,"კანონი, სამართალმცოდნეობა (საგანი სკოლაში ან უნივერსიტეტში)",,1200,
Nino is a student. She's studying law at Tbilisi State University.,ნინო სტუდენტია. ის სამართალს სწავლობს თბილისის სახელმწიფო უნივერსიტეტში.,,1200,
"lawyer, n.",იურისტი,,1200,
"judge, n.",მოსამართლე,,1200,
"advocate, n.",ადვოკატი,,1200,
"prosecutor, n.","პროკურორი, ბრალმდებელი",,1200,
"prosecute, v. (sb for sth/doing sth)",სასამართლოში გაასამართლო ვიღაც (რაღაცისთვის/რაღაცის ჩადენისთვის),,1200,
"the prosecution, n.",ბრალმდებელი მხარე (სასამართლო განხილვაზე),,1200,
the defence,დამცავი მხარე (სასამართლო განხილვაზე),,1200,
"jury, n.",ნაფიცი მსაჯულები,,1200,
sue sb for sth/doing sth,სასამართლოში უჩივლო ვიღაცას რაღაცის/რაღაცის გაკეთების გამო,,1200,
They will sue us if we breach the terms of the contract.,"ისინი სასამართლოში გვიჩივლებენ, თუ ჩვენ დავარღვევთ კონტრაქტის პირობებს.",,1200,
"court, n.","სასამართლო, სამეფო კარი, კორტი (ტენისის)",,1200,
"advantage, n.","უპირატესობა, დადებითი მხარე",,1200,
"disadvantage, n.","არახელსაყრელობა, უარყოფითი მხარე",,1200,
"faculty, n.",ფაკულტეტი (უნივერსიტეტში),,1200,
"campus, n.","სტუდენტების საერთო საცხოვრებელი, კამპუსი",,1200,
Are you aware of the advantages and disadvantages of living on campus?,შენ იცი/გაცნობიერებული გაქვს კამპუსში ცხოვრების დადებითი და უარყოფითი მხარეები?,,1200,
"dean, n.",დეკანი,,1200,
"subject, n.","საგანი (სკოლაში, უნივერსიტეტში)",,1200,
"discipline, n.","დისციპლინა (წესრიგი), დისციპლინა (სასწავლო საგანი)",,1200,
"arts, n.",ჰუმანიტარული საგნები,,1200,
"humanities, n.",ჰუმანიტარული საგნები,,1200,
"science(s), n.",ტექნიკური საგნები,,1200,
The Faculty of Humanities/Arts,ჰუმანიტარული ფაკულტეტი,,1200,
